dimension,aws,azure,gcp,notes
net_zero_year,2040,2030,2030,AWS Climate Pledge 2040; Microsoft 2030 carbon negative; Google 2030 net zero
renewables_100pct_year,2025,2025,2017_achieved,Google claims annual matching since 2017; AWS targets 2025; MS claims 2025
cfe_24x7_target,not_committed,not_committed,2030,Only Google has a 24/7 CFE target
global_avg_pue,1.15,1.18,1.10,All published 2023 figures
per_region_intensity_published,partial,yes,yes,AWS publishes only for some regions; Azure and GCP per-region
per_region_cfe_pct_published,no,partial,yes,Google publishes per-region CFE %; Azure indirectly; AWS not yet
reporting_cadence_score,2,3,3,AWS quarterly via tool; Azure monthly via dashboard; GCP near-real-time
scope1_maturity,3,3,3,All three report Scope 1 with assurance
scope2_maturity_loc_and_market,3,3,3,All three report both location- and market-based
scope3_maturity,2,3,2,Microsoft has the most granular Scope 3 disclosure
third_party_assurance,3,3,3,All three carry ISAE 3000 / equivalent on emissions
customer_footprint_tool,2,3,3,AWS has CCFT; Azure has Emissions Impact Dashboard; GCP has Carbon Footprint
